accession	description	base_count	scientific_name	tax_id	first_public	last_updated
KX976499	Drosophila yakuba isolate Yakuba_Airport_16_5 alcohol dehydrogenase (Adh) mRNA, complete cds.	771	Drosophila yakuba	7245	2016-11-12	2016-11-12
KX976503	Drosophila yakuba isolate Yakuba_SN_Cascade_22 alcohol dehydrogenase (Adh) mRNA, complete cds.	771	Drosophila yakuba	7245	2016-11-12	2016-11-12
KX976508	Drosophila yakuba isolate Yakuba_COST_1235_3 alcohol dehydrogenase (Adh) mRNA, complete cds.	771	Drosophila yakuba	7245	2016-11-12	2016-11-12
KX976511	Drosophila yakuba isolate Yakuba_1_19 alcohol dehydrogenase (Adh) mRNA, complete cds.	771	Drosophila yakuba	7245	2016-11-12	2016-11-12
LC057197	Drosophila sp. KO4 Adh gene for alcohol dehydrogenase, partial cds.	822	Drosophila sp. KO4	1660391	2019-06-04	2019-06-04
M19276	D.simulans alcohol dehydrogenase gene, exons 1,2 and 3.	829	Drosophila simulans	7240	1991-07-26	2006-11-14
M60984	Drosophila pseudoobscura (strain AH133) alcohol dehydrogenase (adh) gene, complete cds.	3494	Drosophila pseudoobscura	7237	1992-04-30	2006-11-14
AB154545	Drosophila kikkawai gene for alcohol dehydrogenase, partial cds, isolate:DkikAdh04.	683	Drosophila kikkawai	30033	2004-04-01	2005-04-14
AB154563	Drosophila lini gene for alcohol dehydrogenase, partial cds, isolate:DliniAdh.	698	Drosophila lini	74550	2004-04-01	2005-04-14
AF201426	Drosophila mauritiana isolate BG1 alcohol dehydrogenase (Adhr) gene, intron 1.	478	Drosophila mauritiana	7226	2000-07-03	2006-11-14
AF201439	Drosophila simulans isolate SC00 alcohol dehydrogenase (Adhr) gene, intron 1.	485	Drosophila simulans	7240	2000-07-03	2006-11-14
AF201444	Drosophila simulans isolate RU259 alcohol dehydrogenase (Adhr) gene, intron 1.	479	Drosophila simulans	7240	2000-07-03	2006-11-14
AF284480	Drosophila sechellia strain 24 alcohol dehydrogenase (Adh) gene, partial cds.	700	Drosophila sechellia	7238	2000-11-02	2006-11-14
AY095936	Drosophila limbata isolate lim2 alcohol dehydrogenase (Adh) gene, partial cds.	446	Drosophila limbata	42028	2003-05-01	2008-12-16
AY095937	Drosophila transversa isolate tra3 alcohol dehydrogenase (Adh) gene, partial cds.	437	Drosophila transversa	193351	2003-05-01	2008-12-16
AY095945	Drosophila curvispina isolate cur2 alcohol dehydrogenase (Adh) gene, partial cds.	443	Drosophila curvispina	126591	2003-05-01	2008-12-16
AY156524	Drosophila navojoa alcohol dehydrogenase 1 (adh-1) gene, complete cds.	879	Drosophila navojoa	7232	2003-03-03	2005-04-16
EU532125	Drosophila paulistorum from Brazil alcohol dehydrogenase (Adh) gene, partial cds.	542	Drosophila paulistorum	46793	2010-01-21	2010-01-21
KX976514	Drosophila yakuba isolate Yakuba_2_11b alcohol dehydrogenase (Adh) mRNA, complete cds.	771	Drosophila yakuba	7245	2016-11-12	2016-11-12
M60986	Drosophila pseudoobscura (strain AH144) alcohol dehydrogenase (adh) gene, complete cds.	3463	Drosophila pseudoobscura	7237	1992-01-26	2006-11-14
AY095948	Drosophila unispina isolate uni2 alcohol dehydrogenase (Adh) gene, partial cds.	442	Drosophila unispina	193352	2003-05-01	2008-12-16
AB154555	Drosophila kikkawai gene for alcohol dehydrogenase, partial cds, isolate:DkikAdh14.	683	Drosophila kikkawai	30033	2004-04-01	2005-04-14
KX976504	Drosophila yakuba isolate Yakuba_SA_3 alcohol dehydrogenase (Adh) mRNA, complete cds.	771	Drosophila yakuba	7245	2016-11-12	2016-11-12
AB154547	Drosophila kikkawai gene for alcohol dehydrogenase, partial cds, isolate:DkikAdh06.	683	Drosophila kikkawai	30033	2004-04-01	2005-04-14
KX976509	Drosophila yakuba isolate Yakuba_2_14 alcohol dehydrogenase (Adh) mRNA, complete cds.	771	Drosophila yakuba	7245	2016-11-12	2016-11-12
AF201433	Drosophila simulans isolate NC48 alcohol dehydrogenase (Adhr) gene, intron 1.	479	Drosophila simulans	7240	2000-07-03	2006-11-14
KX976494	Drosophila yakuba isolate Yakuba_Cascade_21_Combined alcohol dehydrogenase (Adh) mRNA, complete cds.	771	Drosophila yakuba	7245	2016-11-12	2016-11-12
AB669863	Drosophila kikkawai Adh gene for alcohol dehydrogenase, partial cds, strain: HNL123.	832	Drosophila kikkawai	30033	2014-01-02	2014-01-02
AB669892	Drosophila pseudobaimaii Adh gene for alcohol dehydrogenase, partial cds, strain: K41.	779	Drosophila pseudobaimaii	1084238	2014-01-02	2014-01-02
AF136697	Drosophila americana americana G96.12Y alcohol dehydrogenase (Adh) gene, partial cds.	884	Drosophila americana americana	95109	1999-06-03	2005-04-15
AF459766	Drosophila vulcana alcohol dehydrogenase (Adh) gene, exon 2 and partial cds.	290	Drosophila vulcana	132243	2002-05-16	2006-11-14
L78924	Drosophila mimica (strain 15292-2561.4) alcohol dehydrogenase gene, partial cds.	822	Drosophila mimica	7270	1996-06-25	2005-04-17
L78926	Drosophila mimica (strain 15292-2561.6) alcohol dehydrogenase gene, partial cds.	822	Drosophila mimica	7270	1996-06-25	2005-04-17
U64521	Drosophila pseudoobscura alcohol dehydrogenase (Adh) gene, Adh-GB48 allele, complete cds.	3484	Drosophila pseudoobscura	7237	1996-08-16	2005-04-18
U64523	Drosophila pseudoobscura alcohol dehydrogenase (Adh) gene, Adh-PS231 allele, complete cds.	3468	Drosophila pseudoobscura	7237	1996-08-16	2005-04-18
U76475	Drosophila hydei strain 7 alcohol dehydrogenase (Adh-Finnegan) gene, partial cds.	897	Drosophila hydei	7224	1996-11-19	2005-04-18
AB669844	Drosophila malagassya Adh gene for alcohol dehydrogenase, partial cds, strain: J6.	840	Drosophila malagassya	30035	2014-01-02	2014-01-02
AB669870	Drosophila ogumai Adh gene for alcohol dehydrogenase, partial cds, strain: RGN206.	836	Drosophila ogumai	307244	2014-01-02	2014-01-02
AF136671	Drosophila americana americana G96.11X alcohol dehydrogenase (Adh) gene, partial cds.	884	Drosophila americana americana	95109	1999-06-03	2005-04-15
AF136684	Drosophila americana americana G96.38Y alcohol dehydrogenase (Adh) gene, partial cds.	884	Drosophila americana americana	95109	1999-06-03	2005-04-15
AF136689	Drosophila americana americana G96.13Y alcohol dehydrogenase (Adh) gene, partial cds.	884	Drosophila americana americana	95109	1999-06-03	2005-04-15
AF136693	Drosophila americana americana G96.45Y alcohol dehydrogenase (Adh) gene, partial cds.	884	Drosophila americana americana	95109	1999-06-03	2005-04-15
AF136703	Drosophila americana texana LP97.12 alcohol dehydrogenase (Adh) gene, partial cds.	884	Drosophila americana texana	40372	1999-06-03	2005-04-15
AF175213	Drosophila melanogaster alcohol dehydrogenase (Adh) gene, Adh-h18 allele, complete cds.	951	Drosophila melanogaster	7227	1999-10-06	1999-12-21
AF175215	Drosophila melanogaster alcohol dehydrogenase (Adh) gene, Adh-h3 allele, complete cds.	951	Drosophila melanogaster	7227	1999-10-06	1999-12-21
AF459754	Drosophila ananassae alcohol dehydrogenase (Adh) gene, exon 2 and partial cds.	290	Drosophila ananassae	7217	2002-05-16	2006-11-14
AF459774	Drosophila serrata alcohol dehydrogenase (Adh) gene, exon 2 and partial cds.	290	Drosophila serrata	7274	2002-05-16	2006-11-14
L78927	Drosophila mimica (strain 15292-2561.8) alcohol dehydrogenase gene, partial cds.	822	Drosophila mimica	7270	1996-06-25	2005-04-17
U64538	Drosophila pseudoobscura alcohol dehydrogenase (Adh) gene, Adh-PS280 allele, complete cds.	3510	Drosophila pseudoobscura	7237	1996-08-16	2005-04-18
U64553	Drosophila pseudoobscura alcohol dehydrogenase (Adh) gene, Adh-PS342 allele, complete cds.	3455	Drosophila pseudoobscura	7237	1996-08-16	2005-04-18
U64554	Drosophila pseudoobscura alcohol dehydrogenase (Adh) gene, Adh-PS343 allele, complete cds.	3467	Drosophila pseudoobscura	7237	1996-08-16	2005-04-18
AF136660	Drosophila americana americana G96.12X alcohol dehydrogenase (Adh) gene, partial cds.	884	Drosophila americana americana	95109	1999-06-03	2005-04-15
AF136666	Drosophila americana americana G96.24X alcohol dehydrogenase (Adh) gene, partial cds.	884	Drosophila americana americana	95109	1999-06-03	2005-04-15
AF459748	Drosophila prostipennis alcohol dehydrogenase (Adh) gene, exon 2 and partial cds.	290	Drosophila prostipennis	94111	2002-05-16	2006-11-14
AF459752	Drosophila mimetica alcohol dehydrogenase (Adh) gene, exon 2 and partial cds.	290	Drosophila mimetica	30038	2002-05-16	2006-11-14
AF459759	Drosophila pallidosa alcohol dehydrogenase (Adh) gene, exon 2 and partial cds.	290	Drosophila pallidosa	69217	2002-05-16	2006-11-14
AF459761	Drosophila bicornuta alcohol dehydrogenase (Adh) gene, exon 2 and partial cds.	290	Drosophila bicornuta	112146	2002-05-16	2006-11-14
AF459762	Drosophila diplacantha alcohol dehydrogenase (Adh) gene, exon 2 and partial cds.	290	Drosophila diplacantha	61426	2002-05-16	2006-11-14
AF459768	Drosophila auraria alcohol dehydrogenase (Adh) gene, exon 2 and partial cds.	290	Drosophila auraria	47315	2002-05-16	2006-11-14
AF459780	Drosophila mayri alcohol dehydrogenase (Adh) gene, exon 2 and partial cds.	290	Drosophila mayri	137074	2002-05-16	2006-11-14
AY364501	Drosophila mojavensis strain 87 alcohol dehydrogenase 1 (Adh1) gene, complete cds.	880	Drosophila mojavensis	7230	2004-01-30	2005-04-16
EF560574	Drosophila gasici pop-variant Arica alcohol dehydrogenase (adh) gene, partial cds.	622	Drosophila gasici	306028	2008-05-01	2008-07-12
U64527	Drosophila pseudoobscura alcohol dehydrogenase (Adh) gene, Adh-PS246 allele, complete cds.	3474	Drosophila pseudoobscura	7237	1996-08-16	2005-04-18
U76471	Drosophila hydei strain 3 alcohol dehydrogenase (Adh-Finnegan) gene, partial cds.	897	Drosophila hydei	7224	1996-11-19	2005-04-18
AB669825	Drosophila auraria Adh gene for alcohol dehydrogenase, partial cds, strain: A12.	842	Drosophila auraria	47315	2014-01-02	2014-01-02
AB669845	Drosophila malagassya Adh gene for alcohol dehydrogenase, partial cds, strain: J52.	836	Drosophila malagassya	30035	2014-01-02	2014-01-02
AF459745	Drosophila bifasciata alcohol dehydrogenase (Adh) gene, exon 2 and partial cds.	290	Drosophila bifasciata	7218	2002-05-16	2006-11-14
AY695390	Drosophila dunni strain Puerto Rico alcohol dehydrogenase (Adh) mRNA, partial cds.	385	Drosophila dunni	133979	2006-08-01	2006-08-01
EF560575	Drosophila gasici pop-variant Cochabamba alcohol dehydrogenase (adh) gene, partial cds.	622	Drosophila gasici	306028	2008-05-01	2008-07-12
AB669878	Drosophila serrata Adh gene for alcohol dehydrogenase, partial cds, strain: POM503.	838	Drosophila serrata	7274	2014-01-02	2014-01-02
AF136701	Drosophila americana texana LP97.05 alcohol dehydrogenase (Adh) gene, partial cds.	884	Drosophila americana texana	40372	1999-06-03	2005-04-15
U76469	Drosophila hydei strain 1 alcohol dehydrogenase (Adh-Finnegan) gene, partial cds.	897	Drosophila hydei	7224	1996-11-19	2005-04-18
AF136664	Drosophila americana americana G96.23X alcohol dehydrogenase (Adh) gene, partial cds.	884	Drosophila americana americana	95109	1999-06-03	2005-04-15
U94200	Drosophila sp. 'white tip scutellum' alcohol dehydrogenase (Adh) gene, partial cds.	204	Drosophila longiperda	251450	1998-02-23	2005-04-18
U64558	Drosophila pseudoobscura alcohol dehydrogenase (Adh) gene, Adh-PS353 allele, complete cds.	3471	Drosophila pseudoobscura	7237	1996-08-16	2005-04-18
U64531	Drosophila pseudoobscura alcohol dehydrogenase (Adh) gene, Adh-PS256 allele, complete cds.	3473	Drosophila pseudoobscura	7237	1996-08-16	2005-04-18
AB669823	Drosophila asahinai Adh gene for alcohol dehydrogenase, partial cds, strain: AM2K-1.	839	Drosophila asahinai	154832	2014-01-02	2014-01-02
AB669843	Drosophila greeni Adh gene for alcohol dehydrogenase, partial cds, strain: gree-CNRS.	830	Drosophila greeni	114631	2014-01-02	2014-01-02
AB669895	Drosophila tsukubaensis Adh gene for alcohol dehydrogenase, partial cds, strain: tsuk-TKM.	841	Drosophila tsukubaensis	77130	2014-01-02	2014-01-02
AB932672	Drosophila ruberrima Adh gene for alcohol dehydrogenase, partial cds, strain: E-14601.	858	Drosophila ruberrima	98362	2014-10-26	2014-10-26
AH011596	Drosophila lutescens strain 14022-0271.0 alcohol dehydrogenase (Adh) gene, partial cds.	911	Drosophila lutescens	51159	2016-04-08	2016-04-08
AY340279	Drosophila americana pop-variant DN00.02X alcohol dehydrogenase (Adh) gene, partial cds.	881	Drosophila americana	40366	2003-08-13	2005-04-16
AY364500	Drosophila mojavensis strain MJS 122 alcohol dehydrogenase 1 (Adh1) gene, complete cds.	880	Drosophila mojavensis	7230	2004-01-30	2005-04-16
U76481	Drosophila mulleri strain -1371.18 alcohol dehydrogenase (Adh-Finnegan) gene, partial cds.	902	Drosophila mulleri	7231	1997-03-06	2005-04-18
AY340286	Drosophila americana pop-variant NN97.08X alcohol dehydrogenase (Adh) gene, partial cds.	881	Drosophila americana	40366	2003-08-13	2005-04-16
AY340290	Drosophila americana pop-variant N00.05X alcohol dehydrogenase (Adh) gene, partial cds.	881	Drosophila americana	40366	2003-08-13	2005-04-16
AY340300	Drosophila americana pop-variant NN97.02Y alcohol dehydrogenase (Adh) gene, partial cds.	881	Drosophila americana	40366	2003-08-13	2005-04-16
AY364503	Drosophila mojavensis strain MJS 154 alcohol dehydrogenase 1 (Adh1) gene, complete cds.	880	Drosophila mojavensis	7230	2004-01-30	2005-04-16
AY364504	Drosophila mojavensis strain MJS 132 alcohol dehydrogenase 1 (Adh1) gene, complete cds.	880	Drosophila mojavensis	7230	2004-01-30	2005-04-16
AY874364	Drosophila subobscura strain line 6 alcohol dehydrogenase (Adh-Twain) gene, partial cds.	1412	Drosophila subobscura	7241	2005-05-31	2005-05-31
AF136650	Drosophila americana americana D.am-.0X alcohol dehydrogenase (Adh) gene, partial cds.	884	Drosophila americana americana	95109	1999-06-03	2005-04-15
AF136653	Drosophila americana americana D.am-.9X alcohol dehydrogenase (Adh) gene, partial cds.	884	Drosophila americana americana	95109	1999-06-03	2005-04-15
AY340291	Drosophila americana pop-variant NN00.07X alcohol dehydrogenase (Adh) gene, partial cds.	881	Drosophila americana	40366	2003-08-13	2005-04-16
AY340293	Drosophila americana pop-variant DN00.01Y alcohol dehydrogenase (Adh) gene, partial cds.	881	Drosophila americana	40366	2003-08-13	2005-04-16
AY364502	Drosophila mojavensis strain MJS 127 alcohol dehydrogenase 1 (Adh1) gene, complete cds.	880	Drosophila mojavensis	7230	2004-01-30	2005-04-16
AY364516	Drosophila mojavensis strain MJS 115 alcohol dehydrogenase-2 (Adh2) gene, complete cds.	879	Drosophila mojavensis	7230	2004-01-30	2005-04-16
AY541100	Drosophila innubila strain CH5_M4 alcohol dehydrogenase-related protein (Adhr) gene, partial cds.	555	Drosophila innubila	198719	2004-12-13	2005-08-24
AY541101	Drosophila innubila strain CH5_M76 alcohol dehydrogenase-related protein (Adhr) gene, partial cds.	555	Drosophila innubila	198719	2004-12-13	2005-08-24
AY364511	Drosophila mojavensis strain MJS 36 alcohol dehydrogenase-2 (Adh2) gene, complete cds.	879	Drosophila mojavensis	7230	2004-01-30	2005-04-16
AB703323	Drosophila narragansett Adh gene for alcohol dehydrogenase, partial cds, clone: D.narragansett.	405	Drosophila narragansett	7254	2012-03-18	2012-03-18
AY874372	Drosophila subobscura strain line 26 alcohol dehydrogenase (Adh-Twain) gene, partial cds.	1406	Drosophila subobscura	7241	2005-05-31	2005-05-31
AF136652	Drosophila americana americana D.am-.6X alcohol dehydrogenase (Adh) gene, partial cds.	884	Drosophila americana americana	95109	1999-06-03	2005-04-15
AF136655	Drosophila americana americana D.am-.7X alcohol dehydrogenase (Adh) gene, partial cds.	884	Drosophila americana americana	95109	1999-06-03	2005-04-15
AH011595	Drosophila triauraria strain 14028-0691.0 alcohol dehydrogenase (Adh) gene, partial cds.	546	Drosophila triauraria	67534	2016-04-08	2016-04-08
AY340297	Drosophila americana pop-variant DN01.02Y alcohol dehydrogenase (Adh) gene, partial cds.	881	Drosophila americana	40366	2003-08-13	2005-04-16
AY340298	Drosophila americana pop-variant DN01.03Y alcohol dehydrogenase (Adh) gene, partial cds.	881	Drosophila americana	40366	2003-08-13	2005-04-16
AY541096	Drosophila innubila strain CH3_M4 alcohol dehydrogenase-related protein (Adhr) gene, partial cds.	555	Drosophila innubila	198719	2004-12-13	2005-08-24
AY364514	Drosophila mojavensis strain MJS 84 alcohol dehydrogenase-2 (Adh2) gene, complete cds.	879	Drosophila mojavensis	7230	2004-01-30	2005-04-16
AY340304	Drosophila americana pop-variant NN00.03Y alcohol dehydrogenase (Adh) gene, partial cds.	881	Drosophila americana	40366	2003-08-13	2005-04-16
AY364521	Drosophila mojavensis strain MJS 127 alcohol dehydrogenase-2 (Adh2) gene, complete cds.	879	Drosophila mojavensis	7230	2004-01-30	2005-04-16
U76479	Drosophila mulleri strain -1371.1 alcohol dehydrogenase (Adh-Finnegan) gene, partial cds.	902	Drosophila mulleri	7231	1997-03-06	2005-04-18
AB669880	Drosophila baimaii Adh gene for alcohol dehydrogenase, partial cds, strain: 14028-0481.00.	838	Drosophila baimaii	137353	2014-01-02	2014-01-02
AF067281	Drosophila eskoi alcohol dehydrogenase (Adh) gene, exons 2 and 3 and partial cds.	435	Drosophila eskoi	77128	1998-07-02	2006-11-14
AY364512	Drosophila mojavensis strain MJS 58.2 alcohol dehydrogenase-2 (Adh2) gene, complete cds.	879	Drosophila mojavensis	7230	2004-01-30	2005-04-16
M19547	D.melanogaster (strain Af-S) alcohol dehydrogenase gene (allele Adh-S), complete cds.	7119	Drosophila melanogaster	7227	1991-07-01	2006-11-14
AB669857	Drosophila barbarae Adh gene for alcohol dehydrogenase, partial cds, strain: 14028-0491.01.	833	Drosophila barbarae	137354	2014-01-02	2014-01-02
LC057200	Drosophila pseudotakahashii Adh gene for alcohol dehydrogenase, partial cds, strain: 14022-0301.00.	830	Drosophila pseudotakahashii	193234	2019-06-04	2019-06-04
AB669876	Drosophila birchii Adh gene for alcohol dehydrogenase, partial cds, strain: 14028-0521.01.	833	Drosophila birchii	46829	2014-01-02	2014-01-02
AY044130	Drosophila formosana alcohol dehydrogenase (Adh) gene, exons 2 and 3 and partial cds.	721	Drosophila formosana	157056	2002-08-06	2006-11-14
AY154849	Drosophila arizonae strain AR00 13 alcohol dehydrogenase 2 (Adh-2) gene, complete cds.	878	Drosophila arizonae	7263	2003-03-03	2005-04-16
AY154862	Drosophila arizonae strain ARTU 35 alcohol dehydrogenase 1 (Adh-1) gene, complete cds.	880	Drosophila arizonae	7263	2003-03-03	2005-04-16
AY154848	Drosophila arizonae strain AR00 6 alcohol dehydrogenase 2 (Adh-2) gene, complete cds.	878	Drosophila arizonae	7263	2003-03-03	2005-04-16
AY154851	Drosophila arizonae strain AR00 1 alcohol dehydrogenase 1 (Adh-1) gene, complete cds.	880	Drosophila arizonae	7263	2003-03-03	2005-04-16
M60994	Drosophila pseudoobscura bogotana strain BOG 3389.5 alcohol dehydrogenase (adh) gene, complete cds.	3471	Drosophila pseudoobscura bogotana	46244	1992-04-30	2006-11-14
M60996	Drosophila pseudoobscura bogotana strain BOG 3389.9 alcohol dehydrogenase (adh) gene, complete cds.	3450	Drosophila pseudoobscura bogotana	46244	1992-04-30	2006-11-14
AB194438	Drosophila bipectinata Adh gene for alcohol dehydrogenase, partial cds, strain:wild type B133.	759	Drosophila bipectinata	42026	2005-05-07	2006-02-27
AY154859	Drosophila arizonae strain ARTU 22 alcohol dehydrogenase 1 (Adh-1) gene, complete cds.	880	Drosophila arizonae	7263	2003-03-03	2005-04-16
AF045117	Drosophila subsaltans strain 14044-0872.0 alcohol dehydrogenase (Adh) gene, exon2 and partial cds.	405	Drosophila subsaltans	72474	1998-06-02	2006-11-14
AF045121	Drosophila milleri strain 14043-0861.0 alcohol dehydrogenase (Adh) gene, exon2 and partial cds.	405	Drosophila milleri	72471	1998-06-02	2006-11-14
AY154866	Drosophila mojavensis strain MJBC 35.1 alcohol dehydrogenase 2 (Adh-2) gene, complete cds.	880	Drosophila mojavensis	7230	2003-03-03	2005-04-16
AY154839	Drosophila mojavensis strain MJBC 205.1 alcohol dehydrogenase 1 (Adh-1) gene, complete cds.	880	Drosophila mojavensis	7230	2003-03-03	2005-04-16
AY154865	Drosophila mojavensis strain MJBC 33.3 alcohol dehydrogenase 2 (Adh-2) gene, complete cds.	880	Drosophila mojavensis	7230	2003-03-03	2005-04-16
AF045123	Drosophila austrosaltans strain 14045-0881.0 alcohol dehydrogenase (Adh) gene, exon2 and partial cds.	405	Drosophila austrosaltans	72469	1998-06-02	2006-11-14
AF045126	Drosophila emarginata strain 14042-0841.4 alcohol dehydrogenase (Adh) gene, exon2 and partial cds.	405	Drosophila emarginata	30024	1998-06-02	2006-11-14
AY154828	Drosophila mojavensis strain MJBC 33.3 alcohol dehydrogenase 1 (Adh-1) gene, complete cds.	880	Drosophila mojavensis	7230	2003-03-03	2005-04-16
U40987	Drosophila imaii alcohol dehydrogenase (Adh) gene, partial exons 2 and 3, and partial cds.	429	Drosophila imaii	44481	1996-09-27	2006-11-14
AB194422	Drosophila malerkotliana malerkotliana Adh, Adhr genes for alcohol dehydrogenase, hypothetical protein, complete and partial cds.	1782	Drosophila malerkotliana malerkotliana	195057	2005-05-07	2006-02-27
AF348884	Drosophila rufa strain MS alcohol dehydrogenase (adh) gene, exons 2, 3 and 4, and partial cds.	667	Drosophila rufa	67533	2001-04-16	2006-11-14
U35852	Drosophila melanogaster truncated jockey retroposon insertion upstream of the alcohol dehydrogenase gene enhancer region, 3' end.	303	Drosophila melanogaster	7227	1995-10-12	2005-06-14
X58694	D. hydei ADH-1 and ADH-2 genes for alcohol dehydrogenase and an ADH psi pseudogene	8447	Drosophila hydei	7224	1991-04-11	2006-11-14
CV785154	zaa07h09.y2 D yakuba testes cDNA Drosophila yakuba cDNA 5' similar to SW:ADH_DROTS P51550 ALCOHOL DEHYDROGENASE , mRNA sequence.	433	Drosophila yakuba	7245	2004-11-12	2004-11-12
CV878941	zaa98d08.x1 D yakuba testes cDNA Drosophila yakuba cDNA 3' similar to SW:ADH_DROGU Q09009 ALCOHOL DEHYDROGENASE , mRNA sequence.	703	Drosophila yakuba	7245	2004-11-20	2004-11-20
CV785799	zaa02h11.x2 D yakuba testes cDNA Drosophila yakuba cDNA 3' similar to SW:ADH_DROYA P26719 ALCOHOL DEHYDROGENASE , mRNA sequence.	521	Drosophila yakuba	7245	2004-11-12	2004-11-12
CV879066	zab02h12.x1 D yakuba testes cDNA Drosophila yakuba cDNA 3' similar to SW:ADH_DROME P00334 ALCOHOL DEHYDROGENASE , mRNA sequence.	709	Drosophila yakuba	7245	2004-11-20	2004-11-20
AI404931	GH24792.5prime GH Drosophila melanogaster head pOT2 Drosophila melanogaster cDNA clone GH24792 5prime similar to X60791: D.melanogaster (strain KA12) Adh gene for alcohol dehydrogenase, mRNA sequence.	702	Drosophila melanogaster	7227	1999-02-10	2001-04-25
AY695384	Drosophila arawakana alcohol dehydrogenase (Adh) gene, exons 1 through 3 and partial cds Adh-Adhr intergenic spacer, complete sequence and ADHR (Adhr) gene, exon 1 and partial cds.	1141	Drosophila arawakana	30017	2006-08-01	2006-11-14
AI108260	GH07054.5prime GH Drosophila melanogaster head pOT2 Drosophila melanogaster cDNA clone GH07054 5prime similar to M17831: D.melanogaster (strain Fl-2S) alcohol dehydrogenase gene (allele Adh-S), complete cds, mRNA sequence.	378	Drosophila melanogaster	7227	1998-09-04	2001-04-25
AY695388	Drosophila dunni strain St. Croix alcohol dehydrogenase (Adh) gene, exons 1 through 3 and partial cds Adh-Adhr intergenic spacer, complete sequence and ADHR (Adhr) gene, exon 1 and partial cds.	1141	Drosophila dunni	133979	2006-08-01	2006-11-14
BF490844	AT27452.5prime AT Drosophila melanogaster adult testes pOTB7 Drosophila melanogaster cDNA clone AT27452 5 similar to CG5590: FBan0005590 'alcohol dehydrogenase, iron-dependent' located on: 3R 98A6-98A6 : 04/09/2001, mRNA sequence.	668	Drosophila melanogaster	7227	2000-12-07	2001-04-28
AI260852	LP04842.5prime LP Drosophila melanogaster larval-early pupal pOT2 Drosophila melanogaster cDNA clone LP04842 5prime similar to U66411: Drosophila melanogaster gp150 protein and putative type III alcohol dehydrogenase (T3dh) genes, partial cds, mRNA sequence.	737	Drosophila melanogaster	7227	1998-11-13	2001-04-24
BI617843	RH48301.5prime RH Drosophila melanogaster normalized Head pFlc-1 Drosophila melanogaster cDNA clone RH48301 5 similar to CG2767: FBan0002767 GO:[alcohol dehydrogenase (NADP+) (GO:0008106)] located on: 3R 84E5-84E5 : 08/18/2001, mRNA sequence.	512	Drosophila melanogaster	7227	2001-09-11	2001-09-11
BI635199	SD16470.5prime SD Drosophila melanogaster Schneider L2 cell culture pOT2 Drosophila melanogaster cDNA clone SD16470 5 similar to CG2767: FBan0002767 GO:[alcohol dehydrogenase (NADP+) (GO:0008106)] located on: 3R 84E5-84E5 : 05/18/2001, mRNA sequence.	558	Drosophila melanogaster	7227	2001-09-11	2001-09-11
AW941952	GM05887.3prime GM Drosophila melanogaster ovary BlueScript Drosophila melanogaster cDNA clone GM05887 3 similar to U66411: Drosophila melanogaster gp150 protein and putative type III alcohol dehydrogenase (T3dh) genes, partial cds. CDS:<1..184 PID:g1655925 GI:1655925, mRNA sequence.	450	Drosophila melanogaster	7227	2000-06-03	2003-12-03
AF006565	Drosophila persimilis alcohol dehydrogenase (Adh) and alcohol dehydrogenase (Adh-dup) genes, complete cds.	3462	Drosophila persimilis	7234	1997-09-11	2005-04-15
KX384731	Drosophila takahashii strain IND_DT_U7 alcohol dehydrogenase (Adh) and alcohol dehydrogenase-related protein (Adhr) genes, partial cds.	2658	Drosophila takahashii	29030	2017-01-03	2017-01-03
AY331979	Drosophila lini alcohol dehydrogenase gene, partial cds.	785	Drosophila lini	74550	2003-07-26	2005-04-16
X62210	D.pseudoobscura Adh gene for alcohol dehydrogenase	3454	Drosophila pseudoobscura	7237	1992-10-16	2006-11-14
X62217	D.pseudoobscura Adh gene for alcohol dehydrogenase	3468	Drosophila pseudoobscura	7237	1992-10-16	2006-11-14
X62218	D.pseudoobscura Adh gene for alcohol dehydrogenase	3486	Drosophila pseudoobscura	7237	1992-10-16	2006-11-14
X62235	D.pseudoobscura Adh gene for alcohol dehydrogenase	3479	Drosophila pseudoobscura	7237	1992-10-16	2006-11-14
X13812	D.affinidisjuncta Adh gene for alcohol dehydrogenase	3886	Drosophila affinidisjuncta	7262	1992-04-21	2006-11-14
X62223	D.pseudoobscura Adh gene for alcohol dehydrogenase	3477	Drosophila pseudoobscura	7237	1992-10-16	2006-11-14
X62190	D.pseudoobscura Adh gene for alcohol dehydrogenase	3485	Drosophila pseudoobscura	7237	1992-10-16	2006-11-14
X62224	D.pseudoobscura Adh gene for alcohol dehydrogenase	3474	Drosophila pseudoobscura	7237	1992-10-16	2006-11-14
X62229	D.pseudoobscura Adh gene for alcohol dehydrogenase	3494	Drosophila pseudoobscura	7237	1992-10-16	2006-11-14
X64487	D.pseudoobscura Adh gene for alcohol dehydrogenase	3474	Drosophila pseudoobscura	7237	1992-10-16	2006-11-14
X64468	D.pseudoobscura Adh gene for alcohol dehydrogenase	3476	Drosophila pseudoobscura	7237	1992-10-16	2006-11-14
X62183	D.pseudoobscura Adh gene for alcohol dehydrogenase	3499	Drosophila pseudoobscura	7237	1992-10-16	2006-11-14
X62196	D.pseudoobscura Adh gene for alcohol dehydrogenase	3479	Drosophila pseudoobscura	7237	1992-10-16	2006-11-14
X62211	D.pseudoobscura Adh gene for alcohol dehydrogenase	3475	Drosophila pseudoobscura	7237	1992-10-16	2006-11-14
